MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     397.49658 Sec       3/3/2022 5:20:28 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
84.109375 -0.91676819 2.0658636
84.609375 -0.91509962 2.0606637
85.109375 -0.9134174 2.0735197
85.609375 -0.91175395 2.102561
86.109375 -0.91008157 2.1244226
86.609375 -0.90843147 2.1248529
87.109375 -0.90673757 2.1283007
87.609375 -0.90507168 2.1500425
88.109375 -0.90342122 2.1817389
88.609375 -0.90172893 2.1850433
89.109375 -0.90007979 2.1822014
89.609375 -0.89843959 2.1979849
90.109375 -0.8968038 2.2261097
90.609375 -0.89510256 2.2325506
91.109375 -0.89344138 2.2285175
91.609375 -0.8917557 2.254154
92.109375 -0.89011103 2.2817833
92.609375 -0.88846952 2.2790387
93.109375 -0.8867529 2.2790658
93.609375 -0.88510984 2.3152821
94.109375 -0.88345379 2.3251302
94.609375 -0.88177198 2.3158171
95.109375 -0.88008082 2.3407736
95.609375 -0.8784588 2.3649321
96.109375 -0.87677759 2.3554111
96.609375 -0.87509549 2.3705888
97.109375 -0.87343454 2.4009714
97.609375 -0.87174886 2.3925006
98.109375 -0.87013626 2.4023039
98.609375 -0.86839974 2.4361105
99.109375 -0.86674494 2.4339561
99.609375 -0.86507362 2.4321263
100.10938 -0.86344224 2.4668322
100.60938 -0.86174595 2.468369
101.10938 -0.86006349 2.4670577
101.60938 -0.85839295 2.5078967
102.10938 -0.85674775 2.5114377
102.60938 -0.85509062 2.4987822
103.10938 -0.85343009 2.5355155
103.60938 -0.85176331 2.5454364
104.10938 -0.85009682 2.5350792
104.60938 -0.84843743 2.5668144
105.10938 -0.84677994 2.5815611
105.60938 -0.84509593 2.570946
106.10938 -0.84345323 2.5916333
106.60938 -0.84176558 2.6135843
107.10938 -0.84010547 2.5994225
107.60938 -0.83847547 2.6213014
108.10938 -0.83674383 2.6458726
108.60938 -0.83508581 2.640214
109.10938 -0.83339453 2.6401563
109.60938 -0.83174527 2.6733599
110.10938 -0.83007205 2.6718924
110.60938 -0.82845116 2.6705709
111.10938 -0.82675898 2.708632
111.60938 -0.82509357 2.7136004
112.10938 -0.82344776 2.7045119
112.60938 -0.82173777 2.7258961
113.10938 -0.82006562 2.7435877
113.60938 -0.81836665 2.7334034
114.10938 -0.81671667 2.7518876
114.60938 -0.81506956 2.7793255
115.10938 -0.8134107 2.7684259
115.60938 -0.81175923 2.7714529
116.10938 -0.81006944 2.8037753
116.60938 -0.80838513 2.8013077
117.10938 -0.80675381 2.7970867
117.60938 -0.80505776 2.8328729
118.10938 -0.80344462 2.8349142
118.60938 -0.80174714 2.8260324
119.10938 -0.80012631 2.8536816
119.60938 -0.79843706 2.8647585
120.10938 -0.7967838 2.8527696
120.60938 -0.79513752 2.8764386
121.10938 -0.79342002 2.8994422
121.60938 -0.79176307 2.887506
122.10938 -0.79006773 2.8961666
122.60938 -0.78838956 2.9232373
123.10938 -0.7867583 2.9205461
123.60938 -0.78508437 2.9235873
124.10938 -0.78342086 2.9556329
124.60938 -0.78176737 2.9547131
125.10938 -0.78006172 2.9482188
125.60938 -0.7784248 2.972549
126.10938 -0.77676272 2.9868052
126.60938 -0.77508533 2.9751341
127.10938 -0.7734158 2.989815
127.60938 -0.77175868 3.0188186
128.10938 -0.77006626 3.0143571
128.60938 -0.76837915 3.0086837
129.10938 -0.76675361 3.0373049
129.60938 -0.76504874 3.0425334
130.10938 -0.76341248 3.0360131
130.60938 -0.76175076 3.0558333
131.10938 -0.76005262 3.0753837
131.60938 -0.75844485 3.065403
132.10938 -0.75675827 3.0730102
132.60938 -0.75514328 3.0997238
133.10938 -0.75342149 3.0931983
133.60938 -0.75176287 3.0983787
134.10938 -0.75007814 3.1283202
134.60938 -0.74843925 3.1271749
135.10938 -0.7468133 3.1191101
135.60938 -0.74506086 3.1531906
136.10938 -0.74340796 3.1561258
136.60938 -0.74172068 3.1461363
137.10938 -0.74010098 3.1718888
137.60938 -0.73838174 3.1862624
138.10938 -0.73674029 3.1675451
138.60938 -0.7350834 3.1969097
139.10938 -0.73339921 3.2069576
139.60938 -0.73177677 3.1948917
140.10938 -0.7300474 3.2281518
140.60938 -0.72840536 3.2355685
141.10938 -0.72674382 3.2203562
141.60938 -0.72510421 3.2486126
142.10938 -0.72342229 3.2535956
142.60938 -0.72172105 3.2445159
143.10938 -0.72005618 3.2801201
143.60938 -0.71838635 3.2799864
144.10938 -0.71674544 3.2695081
144.60938 -0.71506929 3.3056586
145.10938 -0.71341592 3.2989953
145.60938 -0.71173239 3.3008721
146.10938 -0.71010643 3.3401403
146.60938 -0.70842791 3.3232834
147.10938 -0.7067759 3.3340969
147.60938 -0.70512772 3.3550396
148.10938 -0.70343751 3.3388684
148.60938 -0.70175743 3.3722439
149.10938 -0.70006353 3.3775642
149.60938 -0.69842321 3.3708875
150.10938 -0.69673657 3.4004071
150.60938 -0.69509745 3.392472
151.10938 -0.69344676 3.3990765
151.60938 -0.69175756 3.4288366
152.10938 -0.69012094 3.4141765
152.60938 -0.68841189 3.4284029
153.10938 -0.68677276 3.443861
153.60938 -0.68512589 3.4343266
154.10938 -0.68345159 3.4662631
154.60938 -0.68180627 3.4623311
155.10938 -0.68012875 3.46064
155.60938 -0.67842287 3.4891255
156.10938 -0.67679  3.4756832
156.60938 -0.67512071 3.4918296
157.10938 -0.67346418 3.5205946
157.60938 -0.67180723 3.5002642
158.10938 -0.67011595 3.521147
158.60938 -0.66849208 3.5359783
159.10938 -0.66680384 3.5205288
159.60938 -0.66515172 3.5567155
160.10938 -0.66346258 3.5557315
160.60938 -0.66179389 3.5436583
161.10938 -0.66016042 3.5807176
161.60938 -0.6584844 3.575923
162.10938 -0.65684903 3.5769503
162.60938 -0.65513217 3.6070998
163.10938 -0.65348256 3.5972724
163.60938 -0.65183115 3.5980494
164.10938 -0.65014571 3.6301081
164.60938 -0.64851475 3.619632
165.10938 -0.64683706 3.6287417
165.60938 -0.64518124 3.6582963
166.10938 -0.64346671 3.641674
166.60938 -0.64179844 3.6513598
167.10938 -0.6401068 3.677943
167.60938 -0.63846159 3.666117
168.10938 -0.63681662 3.6826601
168.60938 -0.63511848 3.7038403
169.10938 -0.63343537 3.6865978
169.60938 -0.63175637 3.7106609
170.10938 -0.63012278 3.7190387
170.60938 -0.6284433 3.7100413
171.10938 -0.62677962 3.7447197
171.60938 -0.62510335 3.7370083
172.10938 -0.62343591 3.7356224
172.60938 -0.62180114 3.7684309
173.10938 -0.6201297 3.7536552
173.60938 -0.61844629 3.7728705
174.10938 -0.61681652 3.7915764
174.60938 -0.61514121 3.7714224
175.10938 -0.61348873 3.8020997
175.60938 -0.61182177 3.8099616
176.10938 -0.61014897 3.802295
176.60938 -0.60850072 3.8355603
177.10938 -0.60687679 3.8270621
177.60938 -0.60518694 3.8303008
178.10938 -0.60348606 3.8615072
178.60938 -0.60175878 3.8510203
179.10938 -0.60006982 3.8616235
179.60938 -0.59840393 3.8899517
180.10938 -0.59668565 3.8686128
180.60938 -0.59497708 3.8915448
181.10938 -0.59334403 3.9057128
181.60938 -0.59169847 3.8927617
182.10938 -0.5900206 3.9206858
182.60938 -0.58829159 3.9248064
183.10938 -0.58663088 3.9154351
183.60938 -0.58498508 3.9481885
184.10938 -0.58330953 3.9430707
184.60938 -0.5816831 3.9452326
185.10938 -0.57998389 3.9794483
185.60938 -0.57832897 3.9627481
186.10938 -0.57671094 3.9771225
186.60938 -0.57501757 4.0007033
187.10938 -0.57329309 3.9834008
187.60938 -0.57164758 4.0113611
188.10938 -0.57002401 4.0202355
188.60938 -0.56839383 4.0091076
189.10938 -0.56672066 4.039238
189.60938 -0.56502134 4.0409303
190.10938 -0.56337786 4.0379138
190.60938 -0.56167746 4.0711656
191.10938 -0.56001258 4.0612974
191.60938 -0.55833334 4.0639753
192.10938 -0.55669951 4.0985055
192.60938 -0.55503625 4.0821671
193.10938 -0.55339026 4.1032548
193.60938 -0.55177969 4.1260853
194.10938 -0.55004817 4.1092844
194.60938 -0.54841685 4.1351428
195.10938 -0.54677105 4.1433811
195.60938 -0.54510278 4.1341896
196.10938 -0.54342747 4.1698232
196.60938 -0.54178733 4.1615891
197.10938 -0.54011375 4.1644506
197.60938 -0.53847951 4.1961236
198.10938 -0.53674453 4.1808729
198.60938 -0.53510165 4.2026787
199.10938 -0.53342462 4.2180476
199.60938 -0.53181833 4.2051473
200.10938 -0.5301401 4.2359948
200.60938 -0.52842802 4.2332101
201.10938 -0.52680618 4.232573
201.60938 -0.52512002 4.26648
202.10938 -0.52345806 4.2522235
202.60938 -0.52179116 4.2673044
203.10938 -0.52012038 4.2899537
203.60938 -0.51847595 4.2745385
204.10938 -0.51684445 4.3046179
204.60938 -0.51514584 4.3151369
205.10938 -0.51347995 4.3015809
205.60938 -0.5117783 4.3347592
206.10938 -0.5101732 4.3322635
206.60938 -0.50849074 4.3311882
207.10938 -0.50687975 4.3624787
207.60938 -0.50516856 4.3530383
208.10938 -0.50353169 4.3615241
208.60938 -0.5018931 4.3946457
209.10938 -0.50022942 4.3770981
209.60938 -0.49849784 4.3901248
210.10938 -0.49685031 4.4226971
