MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     292.81494 Sec       3/3/2022 3:08:23 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
0.61279297 -1.3632782 -3.598484
1.112793  -1.3615997 -3.5440876
1.612793  -1.3599184 -3.4944737
2.112793  -1.3582612 -3.4518785
2.612793  -1.3565614 -3.410517
3.112793  -1.3549174 -3.3681848
3.612793  -1.3532401 -3.319242
4.112793  -1.3515725 -3.2669766
4.612793  -1.3499207 -3.2147222
5.112793  -1.348219 -3.1628354
5.612793  -1.3465483 -3.1193736
6.112793  -1.3449206 -3.0840516
6.612793  -1.3432366 -3.0386708
7.112793  -1.341561 -2.9913573
7.612793  -1.3398985 -2.9362004
8.112793  -1.33825  -2.8856876
8.612793  -1.3365786 -2.8438416
9.112793  -1.3349205 -2.8036511
9.612793  -1.3332183 -2.7626114
10.112793 -1.3315251 -2.71137
10.612793 -1.3298937 -2.6532707
11.112793 -1.3282526 -2.6036727
11.612793 -1.3265581 -2.5637944
12.112793 -1.3249483 -2.5304034
12.612793 -1.3232231 -2.4870465
13.112793 -1.3215784 -2.4399793
13.612793 -1.3199131 -2.3832185
14.112793 -1.3182431 -2.3416708
14.612793 -1.3165591 -2.2973976
15.112793 -1.3149405 -2.2501743
15.612793 -1.3132215 -2.1972418
16.112793 -1.3115598 -2.1470191
16.612793 -1.309912 -2.0980659
17.112793 -1.3082631 -2.0570183
17.612793 -1.3065766 -2.0250983
18.112793 -1.3049151 -1.9776326
18.612793 -1.3032496 -1.9247415
19.112793 -1.3015778 -1.8784394
19.612793 -1.2998695 -1.8325313
20.112793 -1.2982438 -1.7954825
20.612793 -1.2965405 -1.7514737
21.112793 -1.294921 -1.6989322
21.612793 -1.2932431 -1.640741
22.112793 -1.2915564 -1.6058577
22.612793 -1.2898895 -1.5751233
23.112793 -1.2882575 -1.5324473
23.612793 -1.2865865 -1.476191
24.112793 -1.2849123 -1.4221083
24.612793 -1.283219 -1.3786659
25.112793 -1.2815523 -1.3404312
25.612793 -1.2799042 -1.2996075
26.112793 -1.2782216 -1.2512631
26.612793 -1.2765571 -1.1969265
27.112793 -1.2749131 -1.1602561
27.612793 -1.2732576 -1.128442
28.112793 -1.2716023 -1.0929972
28.612793 -1.2698781 -1.0399795
29.112793 -1.2682749 -0.98693073
